DANE,Colegio,Sector,PuntajeGlobal
111001100056,COLEGIO JAIME HERNANDO GARZON FORERO (IED),DISTRITAL - CONCESION,74.04
111001100072,COLEGIO SANTIAGO DE LAS ATALAYAS (IED),DISTRITAL - CONCESION,72.08
111001100013,COLEGIO BUENAVISTA (IED),DISTRITAL - CONCESION,71.96
111001029912,COLEGIO JUAN FRANCISCO BERBEO (IED),DISTRITAL,71.29
111001012459,COLEGIO SAN JOSE NORTE (IED),DISTRITAL,70.92
111001109550,COLEGIO RODOLFO LLINAS (IED),DISTRITAL,70.46
111001015776,COLEGIO INSTITUTO TECNICO DISTRITAL JULIO FLOREZ (IED),DISTRITAL,69.21
111001065056,COLEGIO LUIS CARLOS GALAN SARMIENTO (IED),DISTRITAL,69.17
111001010421,COLEGIO JORGE ELIECER GAITAN (IED),DISTRITAL,69.17
111001100021,COLEGIO GIMNASIO SABIO CALDAS (IED),DISTRITAL - CONCESION,68.83
111001026069,COLEGIO TECNICO MENORAH (IED),DISTRITAL,68.83
111001011908,COLEGIO ESCUELA NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED),DISTRITAL,68.71
111001014290,COLEGIO MARSELLA (IED),DISTRITAL,68.75
111001104043,COLEGIO JOSE MARIA VELAZ (IED),DISTRITAL - CONCESION,68.33
111001006122,COLEGIO LA MERCED (IED),DISTRITAL,68.21
111001015806,COLEGIO JORGE GAITAN CORTES (IED),DISTRITAL,67.92
111001100081,COLEGIO MIRAVALLE (IED),DISTRITAL - CONCESION,67.88
111001100064,COLEGIO ARGELIA (IED),DISTRITAL - CONCESION,67.58
111001098965,COLEGIO SANTA LUCIA (IED),DISTRITAL - CONCESION,67.17
111001000612,COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED),DISTRITAL,67.21
111001020168,COLEGIO SORRENTO (IED),DISTRITAL,66.63
111001016101,COLEGIO LOS PERIODISTAS (IED),DISTRITAL,66.17
111001017795,COLEGIO MAGDALENA ORTEGA DE NARIÑO (IED),DISTRITAL,66.17
111001000078,COLEGIO DE CULTURA POPULAR (IED),DISTRITAL,66.13
111279000125,COLEGIO VILLEMAR EL CARMEN (IED),DISTRITAL,66.00
111001010740,COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS (IED),DISTRITAL,65.63
111001102083,COLEGIO SAN JOSE DE CASTILLA (IED),DISTRITAL,65.63
111769001502,COLEGIO ANIBAL FERNANDEZ DE SOTO (IED),DISTRITAL,65.58
111001104051,COLEGIO SAN IGNACIO (IED),DISTRITAL - CONCESION,64.96
111001001121,COLEGIO MARCO TULIO FERNANDEZ (IED),DISTRITAL,65.08
111001035521,COLEGIO NESTOR FORERO ALCALA (IED),DISTRITAL,65.04
111001016292,COLEGIO KENNEDY (IED),DISTRITAL,64.83
111001009148,COLEGIO HELADIA MEJIA (IED),DISTRITAL,64.75
111769003114,COLEGIO VISTA BELLA (IED),DISTRITAL,64.63
111265000017,COLEGIO LA PALESTINA (IED),DISTRITAL,64.71
111001016098,COLEGIO ALQUERIA DE LA FRAGUA (IED),DISTRITAL,64.54
111001015458,COLEGIO FLORIDABLANCA (IED),DISTRITAL,64.50
111001009971,COLEGIO REPUBLICA DE COLOMBIA (IED),DISTRITAL,64.50
111001015601,COLEGIO O.E.A. (IED),DISTRITAL,64.38
111001018333,COLEGIO EL RODEO (IED),DISTRITAL,64.21
111001098841,COLEGIO SAN JOSE DE USME (IED),DISTRITAL - CONCESION,64.21
111001014869,COLEGIO LUIS VARGAS TEJADA (IED),DISTRITAL,64.17
111001011819,COLEGIO LICEO FEMENINO MERCEDES NARIÑO (IED),DISTRITAL,64.00
111001001538,COLEGIO NUEVA CONSTITUCION (IED),DISTRITAL,63.92
111001008389,COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO (IED),DISTRITAL,64.04
111001046299,COLEGIO MANUELA AYALA DE GAITAN (IED),DISTRITAL,64.00
111001012441,COLEGIO MORISCO (IED),DISTRITAL,63.83
111001076767,COLEGIO CASTILLA (IED),DISTRITAL,63.71
111848002662,COLEGIO USAQUEN (IED),DISTRITAL,63.33
111001077917,COLEGIO BRASILIA - USME (IED),DISTRITAL,62.96
111769000956,COLEGIO PRADO VERANIEGO (IED),DISTRITAL,62.96
111001094897,COLEGIO TECNICO PALERMO (IED),DISTRITAL,62.83
111001012602,COLEGIO ATANASIO GIRARDOT (IED),DISTRITAL,62.75
111001098931,COLEGIO TORQUIGUA (IED),DISTRITAL - CONCESION,62.75
111001100030,COLEGIO LA GIRALDA (IED),DISTRITAL - CONCESION,62.54
111001012556,COLEGIO ESPAÑA (IED),DISTRITAL,62.63
111001045535,COLEGIO JOSE MANUEL RESTREPO (IED),DISTRITAL,62.42
111001098892,COLEGIO BELLAVISTA (IED),DISTRITAL - CONCESION,62.46
111001015733,COLEGIO ANTONIO BARAYA (IED),DISTRITAL,62.29
111001106984,COLEGIO GENERAL GUSTAVO ROJAS PINILLA (IED),DISTRITAL,62.38
111001015814,COLEGIO REPUBLICA DE CHINA (IED),DISTRITAL,62.42
111769000174,COLEGIO FILARMONICO SIMON BOLIVAR (IED),DISTRITAL,62.21
111769001871,COLEGIO NUEVA ZELANDIA (IED),DISTRITAL,62.21
111001009652,COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED),DISTRITAL,62.00
111001107743,COLEGIO SALUDCOOP NORTE (IED),DISTRITAL,61.96
111001001279,COLEGIO DARIO ECHANDIA (IED),DISTRITAL,61.83
111001011088,COLEGIO REPUBLICA DE PANAMA (IED),DISTRITAL,61.79
111001013935,COLEGIO SANTA MARTHA (IED),DISTRITAL,61.63
111001104281,COLEGIO GABRIEL BETANCOURT MEJIA (IED),DISTRITAL,61.75
111001104272,COLEGIO CARLO FEDERICI (IED),DISTRITAL,61.63
111001028258,COLEGIO RAFAEL BERNAL JIMENEZ (IED),DISTRITAL,61.63
111001098850,COLEGIO CHUNIZA FAMACO (IED),DISTRITAL - CONCESION,61.71
111001014745,COLEGIO ANTONIO JOSE DE SUCRE (IED),DISTRITAL,61.50
111001014176,COLEGIO SAN CRISTOBAL SUR (IED),DISTRITAL,61.67
111001011029,COLEGIO REINO DE HOLANDA (IED),DISTRITAL,61.58
111001010928,COLEGIO RESTREPO MILLAN (IED),DISTRITAL,61.50
111001098949,COLEGIO BILBAO (IED),DISTRITAL - CONCESION,61.54
111001102181,COLEGIO SAN FRANCISCO DE ASIS (IED),DISTRITAL,61.54
111001002330,COLEGIO LA GAITANA (IED),DISTRITAL,61.50
111001044806,COLEGIO FRIEDRICH NAUMANN (IED),DISTRITAL,61.54
111001041459,COLEGIO RICAURTE (CONCEJO) (IED),DISTRITAL,61.42
111001104264,COLEGIO GERARDO MOLINA RAMIREZ (IED),DISTRITAL,61.38
111001104388,COLEGIO GONZALO ARANGO (IED),DISTRITAL,61.33
111001012963,COLEGIO TECNICO BENJAMIN HERRERA (IED),DISTRITAL,61.29
111001000132,COLEGIO AQUILEO PARRA (IED),DISTRITAL,61.38
111001016071,COLEGIO ISABEL II (IED),DISTRITAL,61.25
111001014826,COLEGIO MARCO ANTONIO CARREÑO SILVA (IED),DISTRITAL,61.21
111001098884,COLEGIO LOS NARANJOS (IED),DISTRITAL - CONCESION,61.00
111001013170,COLEGIO SAN RAFAEL (IED),DISTRITAL,61.04
211769003151,COLEGIO NICOLAS BUENAVENTURA (IED),DISTRITAL,61.04
111001035530,COLEGIO JOSE FELIX RESTREPO (IED),DISTRITAL,61.00
111001102172,COLEGIO JULIO GARAVITO ARMERO (IED),DISTRITAL,61.00
111001011274,COLEGIO ANDRES BELLO (IED),DISTRITAL,60.83
111001027308,COLEGIO PROSPERO PINZON (IED),DISTRITAL,60.71
111001108901,COLEGIO CHARRY (IED),DISTRITAL,60.79
111001034045,COLEGIO LA FLORESTA SUR (IED),DISTRITAL,60.75
111001009521,COLEGIO ROBERT F. KENNEDY (IED),DISTRITAL,60.75
111001034002,COLEGIO GUILLERMO LEON VALENCIA (IED),DISTRITAL,60.75
111001107069,COLEGIO VIRGINIA GUTIERREZ DE PINEDA (IED),DISTRITAL,60.71
111001098922,COLEGIO LAS MERCEDES (IED),DISTRITAL - CONCESION,60.33
111279000966,COLEGIO INTEGRADO DE FONTIBON IBEP (IED),DISTRITAL,60.21
111001015172,COLEGIO ALEJANDRO OBREGON (IED),DISTRITAL,60.29
111001010731,COLEGIO MANUELA BELTRAN (IED),DISTRITAL,60.17
111001046957,COLEGIO TOBERIN (IED),DISTRITAL,60.13
111001076376,COLEGIO MARRUECOS Y MOLINOS (IED),DISTRITAL,60.13
111001020320,COLEGIO ISMAEL PERDOMO (IED),DISTRITAL,60.13
111001086614,COLEGIO CHUNIZA (IED),DISTRITAL,60.13
111001102008,COLEGIO JUAN LUIS LONDOÑO (IED),DISTRITAL - CONCESION,60.13
111001094901,COLEGIO MANUEL ELKIN PATARROYO (IED),DISTRITAL,60.17
111001027405,COLEGIO JAIRO ANIBAL NIÑO (CED),DISTRITAL,60.08
111001079154,COLEGIO VILLA RICA (IED),DISTRITAL,60.04
111769003416,COLEGIO JUAN LOZANO Y LOZANO (IED),DISTRITAL,60.08
111001010251,COLEGIO VENECIA (IED),DISTRITAL,60.04
111001010031,COLEGIO CEDID SAN PABLO (IED),DISTRITAL,59.96
111001012483,COLEGIO TABORA (IED),DISTRITAL,59.92
111001030015,COLEGIO ENRIQUE OLAYA HERRERA (IED),DISTRITAL,59.79
111001075515,COLEGIO GUSTAVO MORALES MORALES (IED),DISTRITAL,59.75
111001033898,COLEGIO MANUEL ZAPATA OLIVELLA (IED),DISTRITAL,59.71
111001036781,COLEGIO RODRIGO LARA BONILLA (IED),DISTRITAL,59.75
111001012530,COLEGIO EL JAZMIN (IED),DISTRITAL,59.67
111001024732,COLEGIO INEM FRANCISCO DE PAULA SANTANDER (IED),DISTRITAL,59.83
111265000394,COLEGIO SIMON BOLIVAR (IED),DISTRITAL,59.54
111279000362,COLEGIO COSTA RICA (IED),DISTRITAL,59.58
111001012971,COLEGIO RAFAEL DELGADO SALGUERO (IED),DISTRITAL,59.46
111001107816,COLEGIO CUNDINAMARCA (IED),DISTRITAL,59.58
111001104558,COLEGIO CODEMA (IED),DISTRITAL,59.50
111001014524,COLEGIO RAFAEL URIBE URIBE (IED),DISTRITAL,59.50
111001014630,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),DISTRITAL,59.46
111001107778,COLEGIO SALUDCOOP SUR (IED),DISTRITAL,59.46
111001000124,COLEGIO CARLOS ARANGO VELEZ (IED),DISTRITAL,59.29
111001104256,COLEGIO DELIA ZAPATA OLIVELLA (IED),DISTRITAL,59.33
111001075752,COLEGIO SOTAVENTO (IED),DISTRITAL,59.25
111001032395,COLEGIO REPUBLICA EE.UU DE AMERICA (IED),DISTRITAL,59.17
111001011070,COLEGIO MIGUEL ANTONIO CARO (IED),DISTRITAL,59.29
111001086754,COLEGIO LA CONCEPCION (IED),DISTRITAL,59.17
111001100048,COLEGIO HERNANDO DURAN DUSSAN (IED),DISTRITAL,59.17
111001107883,COLEGIO DEBORA ARANGO PEREZ (IED),DISTRITAL,59.13
111001011045,COLEGIO SILVERIA ESPINOSA DE RENDON (IED),DISTRITAL,59.21
111279001296,COLEGIO ATAHUALPA (IED),DISTRITAL,59.00
111001025020,COLEGIO ALBERTO LLERAS CAMARGO (IED),DISTRITAL,59.04
111001000272,COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED),DISTRITAL,58.92
111001034134,COLEGIO CLEMENCIA DE CAYCEDO (IED),DISTRITAL,59.04
111102000621,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),DISTRITAL,58.83
211850000876,COLEGIO EL DESTINO (IED),DISTRITAL,58.75
111001019526,COLEGIO LICEO NACIONAL ANTONIA SANTOS (IED),DISTRITAL,58.71
111769003122,COLEGIO VILLA ELISA (IED),DISTRITAL,58.83
111001036625,COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),DISTRITAL,58.75
111001025313,COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED),DISTRITAL,58.75
111001098825,COLEGIO SAN VICENTE (IED),DISTRITAL - CONCESION,58.83
111001024830,COLEGIO FRANCISCO PRIMERO S.S. (IED),DISTRITAL,58.63
111001012815,COLEGIO QUIROGA ALIANZA (IED),DISTRITAL,58.63
111001014206,COLEGIO MARCO FIDEL SUAREZ (IED),DISTRITAL,58.42
111001014214,COLEGIO CIUDAD DE BOGOTA (IED),DISTRITAL,58.50
111001009580,COLEGIO INSTITUTO TECNICO JUAN DEL CORRAL (IED),DISTRITAL,58.38
111001086771,COLEGIO INSTITUTO TECNICO RODRIGO DE TRIANA (IED),DISTRITAL,58.46
111265000408,COLEGIO NIDIA QUINTERO DE TURBAY (IED),DISTRITAL,58.29
111001110477,COLEGIO NELSON MANDELA (IED),DISTRITAL,58.25
111001015598,COLEGIO LAS AMERICAS (IED),DISTRITAL,58.29
111001086649,COLEGIO ALFONSO LOPEZ PUMAREJO (IED),DISTRITAL,58.25
111265000025,COLEGIO GENERAL SANTANDER (IED),DISTRITAL,58.25
111769000247,COLEGIO EL SALITRE - SUBA (IED),DISTRITAL,58.21
111001032255,COLEGIO TOMAS CARRASQUILLA (IED),DISTRITAL,58.13
111001013676,COLEGIO NUEVO CHILE (IED),DISTRITAL,58.13
111279000061,COLEGIO ANTONIO VAN UDEN (IED),DISTRITAL,58.00
111001011321,COLEGIO CARLOS ARTURO TORRES (IED),DISTRITAL,57.88
111279000184,COLEGIO LUIS ANGEL ARANGO (IED),DISTRITAL,57.79
111001012343,COLEGIO TOM ADAMS (IED),DISTRITAL,57.88
111001006483,COLEGIO ANTONIO NARIÑO (IED),DISTRITAL,57.92
111001046477,COLEGIO GRANCOLOMBIANO (IED),DISTRITAL,57.79
111001009831,COLEGIO POLICARPA SALAVARRIETA (IED),DISTRITAL,57.88
111001013129,COLEGIO CLASS (IED),DISTRITAL,57.83
111001029114,COLEGIO JACKELINE (IED),DISTRITAL,57.75
111001016136,COLEGIO LA CHUCUA (IED),DISTRITAL,57.67
111001104302,COLEGIO ORLANDO HIGUITA ROJAS (IED),DISTRITAL,57.71
111001107077,COLEGIO VEINTIUN ANGELES (IED),DISTRITAL,57.67
111001011771,COLEGIO JOSE ASUNCION SILVA (IED),DISTRITAL,57.71
111001032409,COLEGIO JORGE SOTO DEL CORRAL (IED),DISTRITAL,57.58
111848002689,COLEGIO DIVINO MAESTRO (IED),DISTRITAL,57.50
111001014591,COLEGIO MANUEL DEL SOCORRO RODRIGUEZ (IED),DISTRITAL,57.58
111102000753,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),DISTRITAL,57.58
111001018384,COLEGIO SAN ISIDRO SUR ORIENTAL (IED),DISTRITAL,57.54
111001014664,COLEGIO EL LIBERTADOR (IED),DISTRITAL,57.54
111769003360,COLEGIO REPUBLICA DOMINICANA (IED),DISTRITAL,57.67
111001033979,COLEGIO GARCES NAVAS (IED),DISTRITAL,57.58
