DANE,Colegio,Sector,PuntajeGlobal
111001107875,COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),DISTRITAL,57.42
111001014451,COLEGIO JOSE ACEVEDO Y GOMEZ (IED),DISTRITAL,57.29
111102000265,COLEGIO LUIS LOPEZ DE MESA (IED),DISTRITAL,57.25
111001032433,COLEGIO REPUBLICA DEL ECUADOR (IED),DISTRITAL,57.17
111001030848,COLEGIO ARBORIZADORA BAJA (IED),DISTRITAL,57.21
111001108456,COLEGIO TOMAS CIPRIANO DE MOSQUERA (IED),DISTRITAL,57.08
111001027383,COLEGIO ALFREDO IRIARTE (IED),DISTRITAL,57.00
111001018201,COLEGIO RUFINO JOSE CUERVO (IED),DISTRITAL,56.96
211850000931,COLEGIO BRAZUELOS (IED),DISTRITAL,57.04
111001014001,COLEGIO EDUARDO SANTOS (IED),DISTRITAL,56.96
111001014729,COLEGIO JOSE JOAQUIN CASAS (IED),DISTRITAL,56.96
111001102199,COLEGIO PABLO NERUDA (IED),DISTRITAL,57.00
111001098876,COLEGIO LA ESPERANZA (IED),DISTRITAL - CONCESION,56.79
111001075329,COLEGIO MARIA MERCEDES CARRANZA (IED),DISTRITAL,56.83
111001094439,COLEGIO FERNANDO GONZALEZ OCHOA (IED),DISTRITAL,56.83
111001098612,COLEGIO LA ESTRELLITA (IED),DISTRITAL - CONCESION,56.71
111001024660,COLEGIO FERNANDO SOTO APARICIO (IED),DISTRITAL,56.71
111848003031,COLEGIO CRISTOBAL COLON (IED),DISTRITAL,56.67
111001102059,COLEGIO UNION COLOMBIA (IED),DISTRITAL,56.63
111001086789,COLEGIO RAFAEL NUÑEZ (IED),DISTRITAL,56.50
111001015903,COLEGIO MONTEBELLO (IED),DISTRITAL,56.58
111102000281,COLEGIO PABLO DE TARSO (IED),DISTRITAL,56.58
111001030872,COLEGIO ESTANISLAO ZULETA (IED),DISTRITAL,56.42
111001014958,COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED),DISTRITAL,56.50
111001094889,COLEGIO LA TOSCANA - LISBOA (IED),DISTRITAL,56.54
111001032450,COLEGIO BERNARDO JARAMILLO (IED),DISTRITAL,56.42
111001013161,COLEGIO SAN JOSE (IED),DISTRITAL,56.33
111001027324,COLEGIO FLORENTINO GONZALEZ (IED),DISTRITAL,56.38
111001106950,COLEGIO ALFONSO LOPEZ MICHELSEN (IED),DISTRITAL,56.29
111848003910,COLEGIO GENERAL SANTANDER (IED),DISTRITAL,56.33
111001083011,COLEGIO MIGUEL DE CERVANTES SAAVEDRA (IED),DISTRITAL,56.38
211001076958,COLEGIO VILLAS DEL PROGRESO (IED),DISTRITAL,56.29
111850000740,COLEGIO FRANCISCO ANTONIO ZEA DE USME (IED),DISTRITAL,56.08
111001014109,COLEGIO BRASILIA - BOSA (IED),DISTRITAL,56.21
111001046591,COLEGIO JOSE ANTONIO GALAN (IED),DISTRITAL,56.17
111001013293,COLEGIO NACIONES UNIDAS (IED),DISTRITAL,56.04
111001013153,COLEGIO PAULO VI (IED),DISTRITAL,56.08
111001086720,COLEGIO TECNICO JAIME PARDO LEAL (IED),DISTRITAL,56.00
111001078638,COLEGIO EL VIRREY JOSE SOLIS (IED),DISTRITAL,56.04
111001030066,COLEGIO MANUELITA SAENZ (IED),DISTRITAL,56.00
111001014974,COLEGIO FRANCISCO DE MIRANDA (IED),DISTRITAL,55.96
111001044385,COLEGIO CEDID GUILLERMO CANO ISAZA (IED),DISTRITAL,55.83
111001104337,COLEGIO EDUARDO UMAÑA MENDOZA (IED),DISTRITAL,55.83
111001027332,COLEGIO GUSTAVO RESTREPO (IED),DISTRITAL,55.83
211001027485,COLEGIO EL VERJON (IED),DISTRITAL,55.79
111001107794,COLEGIO MARIA CANO (IED),DISTRITAL,55.75
111001075272,COLEGIO NUEVA COLOMBIA (IED),DISTRITAL,55.75
111001041611,COLEGIO DIANA TURBAY (IED),DISTRITAL,55.67
111001034240,COLEGIO NICOLAS GOMEZ DAVILA (IED),DISTRITAL,55.58
111001086606,COLEGIO LLANO ORIENTAL (IED),DISTRITAL,55.67
111001102075,COLEGIO ENTRE NUBES SUR ORIENTAL (IED),DISTRITAL,55.42
111001046931,COLEGIO ATABANZHA (IED),DISTRITAL,55.58
111850001428,COLEGIO ALMIRANTE PADILLA (IED),DISTRITAL,55.63
111001010839,COLEGIO EXTERNADO NACIONAL CAMILO TORRES (IED),DISTRITAL,55.50
111001012301,COLEGIO SAN JOSE SUR ORIENTAL (IED),DISTRITAL,55.29
111001011690,COLEGIO LA AMISTAD (IED),DISTRITAL,55.42
111001014346,COLEGIO RODRIGO ARENAS BETANCOURT (IED),DISTRITAL,55.38
211850000051,COLEGIO GRAN YOMASA (IED),DISTRITAL,55.38
111001027391,COLEGIO MANUEL CEPEDA VARGAS (IED),DISTRITAL,55.42
111001098817,COLEGIO NUEVA ROMA (IED),DISTRITAL - CONCESION,55.33
111001011053,COLEGIO GUILLERMO LEON VALENCIA (IED),DISTRITAL,55.46
111001014028,COLEGIO REPUBLICA FEDERAL DE ALEMANIA (IED),DISTRITAL,55.17
111001107859,COLEGIO ANTONIO GARCIA (IED),DISTRITAL,55.29
111001018058,COLEGIO ALEXANDER FLEMING (IED),DISTRITAL,55.17
211102000243,COLEGIO EL PORVENIR (IED),DISTRITAL,55.17
111001075736,COLEGIO ISLA DEL SOL (IED),DISTRITAL,55.13
111001020095,COLEGIO MISAEL PASTRANA BORRERO (IED),DISTRITAL,55.04
111279000168,COLEGIO INSTITUTO TECNICO INTERNACIONAL (IED),DISTRITAL,54.96
111265000343,COLEGIO ANTONIO VILLAVICENCIO (IED),DISTRITAL,54.92
111001045225,COLEGIO TIBABUYES UNIVERSAL (IED),DISTRITAL,54.92
211850000787,COLEGIO TENERIFE - GRANADA SUR (IED),DISTRITAL,54.96
111001028266,COLEGIO CIUDAD DE MONTREAL (IED),DISTRITAL,54.92
111001104299,COLEGIO ALFONSO REYES ECHANDIA (IED),DISTRITAL,54.75
111001076937,COLEGIO SAN FRANCISCO (IED),DISTRITAL,54.79
111001086801,COLEGIO CEDID CIUDAD BOLIVAR (IED),DISTRITAL,54.79
111001013102,COLEGIO SAN PEDRO CLAVER (IED),DISTRITAL,54.67
111001030830,COLEGIO UNION EUROPEA (IED),DISTRITAL,54.54
111001012360,COLEGIO EL JAPON (IED),DISTRITAL,54.67
111001029955,COLEGIO AGUSTIN FERNANDEZ (IED),DISTRITAL,54.54
111001096555,COLEGIO CIUDAD BOLIVAR - ARGENTINA (IED),DISTRITAL,54.46
111001076201,COLEGIO DIEGO MONTAÑA CUELLAR (IED),DISTRITAL,54.46
111001086681,COLEGIO NUEVO HORIZONTE (IED),DISTRITAL,54.54
111001092410,COLEGIO LA ESTANCIA - SAN ISIDRO LABRADOR (IED),DISTRITAL,54.46
111001107832,COLEGIO GERMAN ARCINIEGAS (IED),DISTRITAL,54.46
111001018341,COLEGIO FRANCISCO JAVIER MATIZ (IED),DISTRITAL,54.38
111001026964,COLEGIO JOHN F. KENNEDY (IED),DISTRITAL,54.38
111001013811,COLEGIO SAN AGUSTIN (IED),DISTRITAL,54.25
111769004188,COLEGIO HUNZA (IED),DISTRITAL,54.08
111001019411,COLEGIO INEM SANTIAGO PEREZ (IED),DISTRITAL,54.17
211001094832,COLEGIO CIUDAD DE VILLAVICENCIO (IED),DISTRITAL,54.00
111001044270,COLEGIO LOS COMUNEROS - OSWALDO GUAYAZAMIN (IED),DISTRITAL,54.04
111001098973,COLEGIO LA JOYA (IED),DISTRITAL,53.96
111102000958,COLEGIO PORFIRIO BARBA JACOB (IED),DISTRITAL,53.92
111001093084,COLEGIO ALVARO GOMEZ HURTADO (IED),DISTRITAL,53.79
111001012271,COLEGIO RAFAEL URIBE URIBE (IED),DISTRITAL,53.79
111001012335,COLEGIO JUANA ESCOBAR (IED),DISTRITAL,53.79
111001014168,COLEGIO ALTAMIRA SUR ORIENTAL (IED),DISTRITAL,53.79
211102000201,COLEGIO SAN BERNARDINO (IED),DISTRITAL,53.71
111001030821,COLEGIO SANTA BARBARA (IED),DISTRITAL,53.71
111001018309,COLEGIO ATENAS (IED),DISTRITAL,53.67
111001102091,COLEGIO COLOMBIA VIVA (IED),DISTRITAL,53.75
111001086631,COLEGIO SAN BENITO ABAD (IED),DISTRITAL,53.63
111001036765,COLEGIO JOSE MARTI (IED),DISTRITAL,53.58
111001016039,COLEGIO ORLANDO FALS BORDA (IED),DISTRITAL,53.63
211850001481,COLEGIO FABIO LOZANO SIMONELLI (IED),DISTRITAL,53.50
111001018368,COLEGIO LA VICTORIA (IED),DISTRITAL,53.42
111001045730,COLEGIO EL PARAISO DE MANUELA BELTRAN (IED),DISTRITAL,53.50
111001107760,COLEGIO PAULO FREIRE (IED),DISTRITAL,53.42
111001098906,COLEGIO EDUARDO UMAÑA LUNA (IED),DISTRITAL,53.25
111001098833,COLEGIO SAN CAYETANO (IED),DISTRITAL,53.17
111001027251,COLEGIO LEON DE GREIFF (IED),DISTRITAL,53.08
111001102121,COLEGIO VILLAMAR (IED),DISTRITAL,52.96
111001047571,COLEGIO ARBORIZADORA ALTA (IED),DISTRITAL,53.04
111001012611,COLEGIO BRAVO PAEZ (IED),DISTRITAL,53.00
111001013820,COLEGIO SANTA LIBRADA (IED),DISTRITAL,52.88
111001104329,COLEGIO CARLOS PIZARRO LEON GOMEZ (IED),DISTRITAL,52.88
111001025216,COLEGIO VILLA AMALIA (IED),DISTRITAL,52.67
111001077895,COLEGIO OFELIA URIBE DE ACOSTA (IED),DISTRITAL,52.71
211102000995,COLEGIO BOSANOVA (IED),DISTRITAL,52.71
111001002909,COLEGIO CARLOS ALBAN HOLGUIN (IED),DISTRITAL,52.50
111001018325,COLEGIO JOSE JOAQUIN CASTRO MARTINEZ (IED),DISTRITAL,52.63
111001032280,COLEGIO TECNICO TOMAS RUEDA VARGAS (IED),DISTRITAL,52.54
111001024686,COLEGIO MORALBA SURORIENTAL (IED),DISTRITAL,52.63
111850001461,COLEGIO LOS TEJARES (IED),DISTRITAL,52.63
111001030856,COLEGIO PANAMERICANO (IED),DISTRITAL,52.54
111001102164,COLEGIO EL MINUTO DE BUENOS AIRES (IED),DISTRITAL,52.46
111001035572,COLEGIO ACACIA II (IED),DISTRITAL,52.46
211001076346,COLEGIO CAMPESTRE JAIME GARZON (IED),DISTRITAL,52.46
111001086665,COLEGIO RAMON DE ZUBIRIA (IED),DISTRITAL,52.33
211850001473,COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED),DISTRITAL,52.33
111001045705,COLEGIO LA AURORA (IED),DISTRITAL,52.33
211850001171,COLEGIO RURAL QUIBA ALTA (IED),DISTRITAL,52.33
111001046485,COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED),DISTRITAL,52.25
111001065234,COLEGIO USMINIA (IED),DISTRITAL,52.17
111001047678,COLEGIO PARAISO MIRADOR (IED),DISTRITAL,52.13
111001075957,COLEGIO SAN CARLOS (IED),DISTRITAL,52.17
211001032501,COLEGIO GABRIEL GARCIA MARQUEZ (IED),DISTRITAL,52.21
111001018252,COLEGIO JOSE MARIA CARBONELL (IED),DISTRITAL,52.00
111001016250,COLEGIO REPUBLICA BOLIVARIANA DE VENEZUELA (IED),DISTRITAL,51.88
111001046621,COLEGIO NUEVA DELHI (IED),DISTRITAL,51.88
111001012033,COLEGIO VEINTE DE JULIO (IED),DISTRITAL,51.75
111001016314,COLEGIO SIMON RODRIGUEZ (IED),DISTRITAL,51.54
211850001121,COLEGIO RURAL PASQUILLA (IED),DISTRITAL,51.46
111001041556,COLEGIO PROVINCIA DE QUEBEC (IED),DISTRITAL,51.58
111850001380,COLEGIO EL CORTIJO - VIANEY (IED),DISTRITAL,51.50
111001013374,COLEGIO ESCUELA NACIONAL DE COMERCIO (IED),DISTRITAL,51.33
111001047457,COLEGIO LA ARABIA (IED),DISTRITAL,51.33
111001086835,COLEGIO SIERRA MORENA (IED),DISTRITAL,51.08
111001106968,COLEGIO JOSE FRANCISCO SOCARRAS (IED),DISTRITAL,51.08
111001015911,COLEGIO LOS ALPES (IED),DISTRITAL,51.00
111001030864,COLEGIO ALEMANIA UNIFICADA (IED),DISTRITAL,50.92
111001016004,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),DISTRITAL,50.71
111001075663,COLEGIO ESTRELLA DEL SUR (IED),DISTRITAL,50.79
111001014486,COLEGIO REPUBLICA DE MEXICO (IED),DISTRITAL,50.54
111001036561,COLEGIO JOSE JAIME ROJAS (IED),DISTRITAL,50.38
111001107867,COLEGIO KIMI PERNIA DOMICO (IED),DISTRITAL,50.17
111001035602,COLEGIO JUAN EVANGELISTA GOMEZ (IED),DISTRITAL,50.25
111001102105,COLEGIO CONFEDERACION BRISAS DEL DIAMANTE (IED),DISTRITAL,50.13
111850001576,COLEGIO FEDERICO GARCIA LORCA (IED),DISTRITAL,49.96
111001109304,COLEGIO FANNY MIKEY (IED),DISTRITAL,49.79
111001034665,COLEGIO SAN MARTIN DE PORRES (IED),DISTRITAL,49.58
111001034011,COLEGIO JUAN REY (IED),DISTRITAL,49.42
111001102130,COLEGIO COMPARTIR RECUERDO (IED),DISTRITAL,49.38
211850001317,COLEGIO RURAL JOSE CELESTINO MUTIS (IED),DISTRITAL,49.33
311001075034,COLEGIO CANADA (IED),DISTRITAL,49.13
111001024643,COLEGIO NUEVA ESPERANZA (IED),DISTRITAL,48.63
311001026441,COLEGIO LOS PINOS (IED),DISTRITAL,48.46
111001102156,COLEGIO CAMPESTRE MONTE VERDE (IED),DISTRITAL,48.00
111769003424,COLEGIO GERARDO PAREDES (IED),DISTRITAL,47.71
111001102067,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),DISTRITAL,47.21
111001036544,COLEGIO ANTONIO JOSE URIBE (IED),DISTRITAL,47.08
111001098868,COLEGIO LUIS EDUARDO MORA OSEJO (IED),DISTRITAL,46.96
211850000981,COLEGIO EL UVAL (IED),DISTRITAL,46.96
111001107115,COLEGIO JOSE MARIA VARGAS VILA (IED),DISTRITAL,46.50
111001102148,COLEGIO INTEGRADA LA CANDELARIA (IED),DISTRITAL,45.29
111001102113,COLEGIO EL TESORO DE LA CUMBRE (IED),DISTRITAL,44.58
211850000736,COLEGIO RURAL LA ARGENTINA (CED),DISTRITAL,76.31
111001012475,COLEGIO AGUAS CLARAS (IED),DISTRITAL,66.44
111001078930,COLEGIO LA PAZ (CED),DISTRITAL,65.00
111001011011,COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED),DISTRITAL,62.50
111001104183,COLEGIO LEONARDO POSADA PEDRAZA (IED),DISTRITAL,61.75
111001012246,COLEGIO PANTALEON GAITAN PEREZ (CED),DISTRITAL,61.00
111001041599,COLEGIO MOTORISTA (CED),DISTRITAL,58.19
211850001180,COLEGIO MOCHUELO ALTO (CED),DISTRITAL,55.00
111001028380,COLEGIO PALERMO SUR (IED),DISTRITAL,51.63
211850001007,COLEGIO RURAL LA MAYORIA (CED),DISTRITAL,43.75
111001011975,COLEGIO GRAN COLOMBIA (IED),DISTRITAL,43.31
111001010910,COLEGIO NACIONAL NICOLAS ESGUERRA (IED),DISTRITAL,64.88
111001086690,COLEGIO EL MANANTIAL (CED),DISTRITAL,45.63
211850000108,COLEGIO RURAL OLARTE (CED),DISTRITAL,40.50